Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","  As pessoas jurídicas desobrigadas de apresentar a ECF são:

* Pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional), de acordo com a Lei Complementar nº 123, de 14 de dezembro de 2006;
* Órgãos públicos, autarquias e fundações públicas;
* Pessoas jurídicas inativas, que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","  No caso da ECF retificadora apresentar valores a título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF retificada, haverá os seguintes efeitos tributários:

* O crédito relativo ao tributo administrado pela RFB, passível de restituição ou de reembolso, será restituído, reembolsado ou compensado, acrescido de juros equivalentes à taxa referencial do Sistema Especial de Liquidação e de Custódia (Selic) para títulos federais, acumulados mensalmente, e de juros de 1% (um por cento) no mês em que a quantia for disponibilizada ao sujeito passivo.
* A disponibilização da quantia ao sujeito passivo ocorrerá no mês em que o recurso for disponibilizado no banco ou na instituição de pagamento, no caso de restituição apurada em declaração de rendimentos da pessoa física.
* Nas demais casos, a disponibilização da quantia ao sujeito passivo ocorrerá no mês da efetivação da restituição.

Portanto, a apresentação de valores a título de IRPJ e de CSLL diferentes na ECF retificada não causará alterações nos efeitos tributários relativos à restituição ou reembolso do crédito relativo ao tributo administrado pela RFB."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"  A isenção do IRPJ não depende de prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil. A Secretaria da Receita Federal do Brasil do Ministério da Fazenda é quem reconhece a isenção, como estabelecido no art. 192."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","  A pessoa física é equiparada à pessoa jurídica nas seguintes hipóteses:

* When they engage in economic or commercial activities with the aim of making a profit, either in their own name or on behalf of a company (Article 41, paragraph 1, item II of Law 4506/1964 and Article 27, paragraph 1 of Decree-Law 5844/1943).
* When they promote the incorporation of buildings in a condominium or subdivision of land, in accordance with the provisions of Section II of this Chapter (Decree-Law 1381/1974, Article 1 and Article 3, paragraph 1, item III).
* When they are entrepreneurs, as defined in Article 966 to Article 969 of the Civil Code (Law 10406/2002).

Therefore, individuals who engage in economic or commercial activities with the aim of making a profit, promote the incorporation of buildings in a condominium or subdivision of land, or are entrepreneurs, are considered equivalent to legal entities."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","  Não, os condôminos na propriedade de imóveis não estão sujeitos à equiparação como pessoa jurídica. A Decreto-Lei nº 1.381, de 1974, art. 7º, parágrafo único, estabelece que os condôminos serão tratados como se fossem o único titular da operação imobiliária, nos limites de sua participação, mas isso não significa que sejam considerados como pessoas jurídicas."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","  A aquisição ou alienação se considera ocorrida na data em que foi celebrado o contrato inicial da operação imobiliária correspondente, independentemente de se foi por meio de instrumento particular (Decreto-Lei nº 1.381, de 1974, art. 2º, caput, inciso II).

Para que a data de aquisição ou de alienação constante de instrumento particular seja aceita pela autoridade fiscal, é necessário atender a uma das seguintes condições:

* Registro do instrumento no Registro Imobiliário ou no Registro de Títulos e Documentos no prazo de trinta dias, contado da data do instrumento;
* Conformidade com cheque nominativo pago no prazo de trinta dias, contado da data do instrumento;
* Conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor;
* Menção expressa à operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente às declarações de rendimentos (Decreto-Lei nº 1.381, de 1974, art. 2º, § 2º).

Além disso, o Ministro de Estado da Fazenda pode estabelecer critérios adicionais para aceitação da data do instrumento particular (Decreto-Lei nº 1.381, de 1974, art. 2º, § 3º)."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","  A equiparação de uma pessoa física à pessoa jurídica para fins de tributação como pessoa jurídica ocorre quando essa pessoa física promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento, e iniciar a alienação das unidades imobiliárias ou dos lotes de terreno antes de decorrido o prazo de sessenta meses, contado da data da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras do loteamento.

O prazo de sessenta meses é aplicável a partir da data da averbação, e para os imóveis havidos até 30 de junho de 1977, o prazo é de trinta e seis meses.

Portanto, a resposta à sua pergunta é: a equiparação de uma pessoa física à pessoa jurídica para fins de tributação como pessoa jurídica ocorre quando essa pessoa física promove a construção de prédio com mais de duas unidades imobiliárias ou a execução de loteamento e iniciar a alienação das unidades imobiliárias ou dos lotes de terreno antes de decorrido o prazo de sessenta meses ou trinta e seis meses, conforme o caso."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","  A legislação que deverá prevalecer em caso de alteração das normas em vigor que disciplinam a prática de operações imobiliárias por pessoas físicas é a legislação vigente na data da realizacao da operação imobiliária.

De acordo com o art. 169 da Lei nº 1.381/74, a equiparação da pessoa física à pessoa jurídica será determinada de acordo com as normas legais e regulamentares em vigor na data da realizacao da operação imobiliária. Portanto, se as normas forem alteradas posteriormente, essas alteração não atingirão as operações imobiliárias já realizadas, nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.

Em resumo, a legislação que deverá prevalecer é a legislação que estava em vigor na data da realizacao da operação imobiliária."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","  Sim, o lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica em razão de operações com imóveis pode ser mantido como lucros suspensos na escrituração da pessoa jurídica.

A Lei nº 9.249, de 1995, art. 10, estabelece que os lucros considerados automaticamente distribuídos, apurados a partir de 1º de janeiro de 1996, não ficarão sujeitos à incidência do imposto sobre a renda na fonte, nem integrarão a base de cálculo do imposto sobre a renda do titular da empresa individual.

Com base nessa disposição legal, é possível deduuzir que o lucro apurado pela pessoa física equiparada à pessoa jurídica em razão de operações imobiliárias pode ser mantido como lucros suspensos na escrituração da pessoa jurídica, uma vez que esses lucros não seriam sujeitos à incidência do imposto sobre a renda na fonte.

No entanto, é importante ressaltar que essa possibilidade depende de cumprimento de todas as demais obrigações fiscais e legais aplicáveis à empresa, e que a decisão de manter os lucros como suspensos deve ser tomada com base em orientação técnica e fiscal adequada, considerando as implicações fiscais e financeiras da empresa."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","  A equiparação cessa após 36 meses consecutivos de inatividade na alienação de unidades imobiliárias ou lotes de terrenos, desde que o prazo comece a contar a partir da data da equiparação."
