Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","As pessoas jurídicas desobrigadas de apresentar a ECF são:
I - Aquelas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional);
II - Órgãos públicos, autarquias e fundações públicas;
III - Pessoas jurídicas inativas, que não tenham realizado qualquer atividade operacional, não operacional, patrimonial, financeira, nem mesmo aplicação no mercado financeiro ou de capitais durante todo o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.","Não posso fornecer uma resposta direta à sua pergunta específica a partir do trecho legal fornecido, pois ele se concentra nas condições de restituição, reembolso e compensação de créditos tributários, juntamente com os juros aplicados em determinadas situações. A questão sobre os efeitos tributários de uma retificação na ECF referente a valores de IRPJ e CSLL requer informações específicas sobre as regras de retificação e como elas afetam as obrigações tributárias, o que não está claro neste contexto. Você pode precisar consultar as disposições legais específicas sobre retificações de declarações fiscais para obter uma resposta precisa."
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, as isenções mencionadas nesta Seção não dependem de reconhecimento prévio, exceto na hipótese específica prevista no art. 187, onde a isenção é reconhecida pela Secretaria da Receita Federal do Brasil do Ministério da Fazenda. Nessa caso particular, a isenção se aplica a rendimentos obtidos com reciprocidade de tratamento e não permite restituição de receita em qualquer circunstância."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","As pessoas físicas são equiparadas a pessoas jurídicas nas seguintes hipóteses:

1. Quem se constitui como empresário na forma estabelecida nos artigos 966 a 969 do Código Civil (Lei nº 10.406, de 2002).
2. Aqueles que exploram qualquer atividade econômica de natureza civil ou comercial individualmente, visando lucro por meio de venda de bens ou serviços (Lei nº 4.506, de 1964, e Decreto-Lei nº 5.844, de 1943).
3. Pessoas físicas que promovam incorporação de prédios em condomínio ou loteamento de terrenos conforme regulado (Decreto-Lei nº 1.381, de 1974).

No entanto, não são equiparadas a pessoas jurídicas nas atividades mencionadas no § 2º do Artigo 162, que inclui médicos, engenheiros, advogados, entre outros profissionais liberais, atividades não comerciais, e várias outras especificadas nas alíneas ""a"" a ""g"" do Artigo 6º do Decreto-Lei nº 5.844, de 1943, e complementadas por outras leis mencionadas."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Não, os condôminos na propriedade de imóveis não são considerados sociedades em comum, mesmo que pessoas jurídicas estejam envolvidas. Cada condômino, pessoa física, é tratado individualmente em relação à operação imobiliária dentro dos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A data de aquisição ou alienação é considerada a data em que é celebrado o contrato inicial da operação imobiliária, mesmo sendo por meio de instrumento particular. Para que essa data seja aceita pela autoridade fiscal, é necessário que pelo menos uma das seguintes condições seja atendida:

1. O instrumento seja registrado no Registro Imobiliário ou no Registro de Títulos e Documentos dentro de 30 dias contados da data do contrato.
2. Haja conformidade com um cheque nominativo pago dentro de 30 dias a partir da data do instrumento.
3. Sejam observados lançamentos contábeis da pessoa jurídica, seguindo as regras de escrituração vigentes.
4. Haja uma menção explícita à operação nas declarações de bens da parte interessada, apresentadas oportunamente à repartição competente, acompanhadas das declarações de rendimentos.

O Ministro da Fazenda pode estabelecer critérios adicionais para aceitar a data do instrumento particular."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","A equiparação de pessoa física à pessoa jurídica ocorre quando o proprietário ou titular de terrenos promove a construção de um prédio com mais de duas unidades imobiliárias ou executa um loteamento e começa a alienar (vender ou transferir) essas unidades imobiliárias ou lotes antes do prazo de sessenta meses (ou trinta e seis meses, se o imóvel foi havido até 30 de junho de 1977) após a registro da construção ou aceitação das obras do loteamento no Registro Imobiliário. Não há um quantitativo específico de operações, mas a alienação é caracterizada mesmo por ajustes preliminares, como o recebimento de valores como reserva."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","A legislação que deverá prevalecer é a em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento, conforme determinado no Decreto-Lei nº 1.381, de 1974, art. 8º. Alterações subsequentes às normas não afetarão operações já realizadas ou empreendimentos com documentação já arquivada no Registro Imobiliário."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado pela pessoa física equiparada a empresa individual em razão de operações imobiliárias, após as deduções, é considerado automaticamente distribuído e não pode ser mantido como lucros suspensos na escrituração."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","O término da equiparação ocorre após o prazo de trinta e seis meses consecutivos, desde que a pessoa física não tenha promovido nenhum empreendimento nem efetuado nenhuma alienação das unidades imobiliárias ou lotes de terreno mencionados."
