Q,A,A_model
Que pessoas jurídicas estão desobrigadas de apresentar a ECF?,"Estão desobrigadas de apresentar a ECF: I - as pessoas jurídicas optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte, instituído pela Lei Complementar nº 123, de 14 de dezembro de 2006 (Simples Nacional), por estarem obrigadas à apresentação de Declaração Anual do Simples Nacional - DASN; II - os órgãos públicos, as autarquias e as fundações públicas; e III - as pessoas jurídicas inativas, assim consideradas aquelas que não tenham efetuado qualquer atividade operacional, não operacional, patrimonial ou financeira, inclusive aplicação no mercado financeiro ou de capitais, durante todo o ano-calendário, as quais deverão cumprir as obrigações acessórias previstas na legislação específica.","As pessoas jurídicas desobrigadas de apresentar a ECF são: I - as optantes pelo Regime Especial Unificado de Arrecadação de Tributos e Contribuições (Simples Nacional); II - órgãos públicos, autarquias e fundações públicas; e III - as pessoas jurídicas inativas que não tenham realizado atividades operacionais, não operacionais, patrimoniais ou financeiras durante o ano-calendário."
Quais os efeitos tributários no caso de a ECF retificadora apresentar valores a  título de IRPJ e de CSLL diferentes daqueles inicialmente apresentados na ECF  retificada?,"Quando a retificação da ECF apresentar imposto maior que o da ECF retificada, a diferença apurada será devida com os acréscimos correspondentes. Quando a retificação da ECF apresentar imposto menor que o da ECF retificada, a diferença apurada, desde que paga, poderá ser compensada ou restituída. Sobre o montante a ser compensado ou restituído incidirão juros equivalentes à taxa referencial do Sistema Especial de Liquidação e Custódia (Selic), acumulados até o mês anterior ao da restituição ou compensação, adicionado de 1% (um por cento) no mês da restituição ou compensação.",O contexto fornecido não fornece informações suficientes para responder à pergunta sobre os efeitos tributários em um caso específico envolvendo uma ECF (Declaração de Complemento de Faturamento) retificadora e valores diferentes de IRPJ (Imposto sobre Renda da Pessoa Física) e CSLL (Contribuição Social para o Fino de Longo Prazo).
A isenção do IRPJ depende de prévio reconhecimento pela Secretaria Especial da  Receita Federal do Brasil?,Não. O benefício da isenção do IRPJ independe do prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil.,"Não, a isenção de IRPJ (Imposto sobre Rendimentos Pessoais de Jurais) mencionada neste trecho específico da lei não depende diretamente de prévio reconhecimento pela Secretaria Especial da Receita Federal do Brasil. No entanto, na situação descrita no artigo 187, a isenção será reconhecida pela Secretaria da Receita Federal do Brasil do Ministério da Fazenda."
Quais as hipóteses em que a pessoa física é equiparada à pessoa jurídica?,"Para os efeitos do imposto de renda, as pessoas físicas caracterizadas como empresa individual estão equiparadas à pessoa jurídica. A legislação do imposto de renda caracteriza como empresa individual a pessoa física que: a) em nome individual, explorem, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, mediante venda a terceiro de bens ou serviços, quer se encontrem regularmente inscritas ou não junto ao órgão do Registro de Comércio ou Registro Civil; b) promoverem a incorporação de prédios em condomínio ou loteamento de terrenos.","Uma pessoa física é equiparada à uma pessoa jurídica quando ela se enquadra nos seguintes casos: 

1. É um empresário constituído na forma estabelecida no artigo 966 ao artigo 969 da Lei nº 10.406 (Código Civil);
2. Explora, habitual e profissionalmente, qualquer atividade econômica de natureza civil ou comercial, com o fim especulativo de lucro, por meio da venda a terceiros de bens ou serviços (Decreto-Lei nº 5.844 e Decreto-Lei nº 1.381);
3. Promove a incorporação de prédios em condomínio ou loteamento de terrenos (Decreto-Lei nº 1.381).

Note que essa equiparação não se aplica aos casos listados nos subseções II a VII do artigo."
Os condôminos na propriedade de imóveis estão sujeitos à equiparação como  pessoa jurídica?,"Os condomínios na propriedade de imóveis não são considerados sociedades em comum (antiga sociedade de fato), ainda que deles também façam parte pessoas jurídicas. Assim, a cada condômino pessoa física serão aplicados os critérios de caracterização da empresa individual e demais dispositivo legais, como se ele fosse o único titular da operação imobiliária, nos limites da sua participação.","Os condôminos na propriedade de imóveis não são considerados pessoas jurídicas, embora a lei permita a participação de pessoas jurídicas em condomínios. Eles são tratados como se fossem empresas individuais, sendo apenas aplicados os critérios aos condôminos físicos, dentro dos limites de sua participação."
Em que data se considera ocorrida a aquisição ou alienação e quais as condições  para que seja aceita?,"Considera-se data da aquisição ou alienação aquela em que for celebrado o contrato inicial, ainda que mediante instrumento particular. Caso a transmissão se opere por meio de instrumento particular, a data de aquisição ou alienação constante no respectivo instrumento, se favorável aos interesses da pessoa física, somente será aceita pela autoridade fiscal quando atendida pelo menos uma das seguintes condições: a) o instrumento particular tiver sido registrado no Cartório do Registro Imobiliário, ou no de Títulos e Documentos, no prazo de 30 (trinta) dias, contados da data nele constante; b) houver conformidade com cheque nominativo pago dentro do prazo de 30 (trinta) dias, contados da data do instrumento; c) houver conformidade com lançamentos contábeis da pessoa jurídica, atendidos os preceitos para escrituração em vigor; d) houver menção expressa da operação nas declarações de bens da parte interessada, apresentadas tempestivamente à repartição competente, juntamente com as declarações de rendimentos. 47","A aquisição ou alienação de imóveis é considerada ocorrida na data de celebração do contrato inicial da operação imobiliária correspondente. Para que a data constante de um instrumento particular seja aceita, deve atender uma das seguintes condições: registro no Registro Imobiliário ou Registro de Títulos e Documentos em 30 dias, conformidade com um cheque nominativo pago em 30 dias, conformidade com lançamentos contábeis e menção expressa na declaração de bens da parte interessada. O Ministro de Estado da Fazenda pode estabelecer critérios adicionais para aceitação desta data."
"Qual o quantitativo de operações imobiliárias necessário para equiparação de  pessoa física à pessoa jurídica, determinando o início da tributação como pessoa  jurídica?","A equiparação que leva em conta o quantitativo de unidades imobiliárias ocorre quando o proprietário ou titular de terreno, sem efetuar o arquivamento dos documentos de incorporação no Registro de Imóveis, promover a construção de prédio com mais de 2 (duas) unidades imobiliárias, ou realizar loteamento. Tal equiparação se dará a partir da alienação da primeira unidade imobiliária ou do primeiro lote antes de decorrido o prazo de 60 (sessenta) meses contados da averbação, no Registro Imobiliário, da construção do prédio ou da aceitação das obras de loteamento. Para terrenos adquiridos até 30 de junho de 1977 o prazo é de 36 (trinta e seis) meses.","Para equiparar uma pessoa física a uma pessoa jurídica neste contexto, é necessário promover a construção de um prédio com mais de duas unidades imobiliárias ou a execução de loteamento. Além disso, a alienação dessas unidades imobiliárias ou lotes de terreno deve iniciar-se antes do prazo de 60 meses (após 5 anos) decorrer, contabilizados a partir da data da averbação no Registro Imobiliário da construção do prédio ou da aceitação das obras do loteamento. Para imóveis existentes até junho de 1977, o prazo é de 36 meses (após 3 anos)."
"Em caso de alteração das normas em vigor que disciplinam a prática de  operações imobiliárias por pessoas físicas, qual a legislação que deverá  prevalecer?","Ocorrendo alteração da legislação, a equiparação será determinada de acordo com as normas legais e regulamentares em vigor na data do instrumento inicial de alienação das unidades imobiliárias ou lotes de terreno (nos casos de incorporações ou loteamentos irregulares), ou do arquivamento dos documentos da incorporação ou do loteamento, quando regulares. A posterior alteração dessas normas não atingirá as operações imobiliárias já realizadas nem os empreendimentos cuja documentação já tenha sido arquivada no Registro Imobiliário.","Em caso de alteração das normas em vigor que regulam a prática de operações imobiliárias por pessoas físicas, as legislações que deverão prevalecer são as normas legais e regulamentares em vigor na data do instrumento inicial de alienação do imóvel, do arquivamento dos documentos da incorporação ou do loteamento, de acordo com a Lei nº 1.381, de 1974, artigo 8º. Além disso, essas operações já realizadas e os empreendimentos cuja documentação já esteja arquivada no Registro Imobiliário não serão afetadas por tais alterações posteriores."
O lucro apurado periodicamente pela pessoa física equiparada à pessoa jurídica  em razão de operações com imóveis pode ser mantido como lucros suspensos  na escrituração da pessoa jurídica?,"Não. Esse lucro, após a dedução da provisão para pagamento do IRPJ, sempre será considerado como automaticamente distribuído no período de apuração em que for apurado.","Não, o lucro apurado periodicamente pela pessoa física equiparada a empresa individual em razão de operações imobiliárias não pode ser mantido como lucros suspensos na escrituração da pessoa jurídica. Em vez disso, é considerado automaticamente distribuído no período de apuração, de acordo com a legislação citada."
Quando se considera ocorrido o término da equiparação caso a pessoa jurídica  não efetue nenhuma alienação das unidades imobiliárias ou lotes de terreno?,"A pessoa física que, após sua equiparação à pessoa jurídica, não promover nenhum dos empreendimentos nem efetuar nenhuma das alienações de unidades imobiliárias ou lotes de terrenos, durante o prazo de 36 (trinta e seis) meses consecutivos, deixará de ser considerada equiparada a partir do término deste prazo, salvo quanto aos efeitos tributários das operações em andamento que terão o tratamento previsto no art. 177, § 1º, do RIR/2018.","A pessoa física deixará de ser considerada equiparada a pessoa jurídica a partir do término de trinta e seis meses consecutivos sem promover empreendimentos nem efetuar nenhuma alienação, independentemente da situação com as unidades imobiliárias ou lotes de terreno (artigo 177). No entanto, essa situação não afeta a continuidade do processo de venda desses imóveis durante o prazo de 36 meses."
